Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2007);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Categories
297;24228;Review of Social Economy;journal;ISSN 00346764, 14701162;0.404;Q3;27;22;84;838;57;80;0.52;38.09;United Kingdom;Economics and Econometrics (Q3)
298;20642;Empirical Economics;journal;ISSN 14358921, 03777332;0.399;Q3;45;51;163;1654;97;160;0.49;32.43;Germany;"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q3)"
299;15465;Pacific Basin Finance Journal;journal;ISSN 0927538, 0927538X;0.397;Q3;43;25;84;928;65;83;0.61;37.12;Netherlands;"Economics and Econometrics (Q3); Finance (Q3)"
300;17272;Defence and Peace Economics;journal;ISSN 10242694, 14768267;0.396;Q3;31;37;113;1042;84;110;0.71;28.16;United Kingdom;"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3)"
301;7100153137;Transformations in Business and Economics;journal;ISSN 16484460;0.394;Q3;16;34;19;1196;10;15;0.67;35.18;Lithuania;"Business and International Management (Q2); Marketing (Q2); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3)"
302;57782;Journal of the History of Economic Thought;journal;ISSN 14699656, 10538372;0.393;Q2;15;22;82;1037;37;78;0.49;47.14;United Kingdom;"Arts and Humanities (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); History and Philosophy of Science (Q2)"
303;19966;Bulletin of Indonesian Economic Studies;journal;ISSN 00074918, 14727234;0.392;Q3;27;17;50;456;63;45;1.67;26.82;United Kingdom;"Development (Q2); Economics and Econometrics (Q3)"
304;7100153133;Spatial Economic Analysis;journal;ISSN 17421780, 17421772;0.392;Q2;23;18;12;642;5;10;0.5;35.67;United Kingdom;"Earth and Planetary Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Statistics, Probability and Uncertainty (Q3)"
305;29401;Journal of the Japanese and International Economies;journal;ISSN 08891583, 10958681;0.392;Q3;34;25;90;802;64;86;0.78;32.08;United States;"Political Science and International Relations (Q2); Economics and Econometrics (Q3); Finance (Q3)"
306;58669;Research in Economic Anthropology;book serie;ISSN 01901281;0.391;Q3;14;11;43;531;28;42;0.12;48.27;United Kingdom;"Anthropology (Q2); Economics and Econometrics (Q3)"
307;21100372152;Journal of Behavioral and Experimental Economics;journal;ISSN 22148051, 22148043;0.39;Q3;48;59;165;2306;139;158;0.48;39.08;United States;"Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Economics and Econometrics (Q3)"
308;4000152118;Advances in Financial Economics;book serie;ISSN 15693732;0.386;Q2;10;18;37;617;16;36;0.4;34.28;United Kingdom;"Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3); Finance (Q3)"
309;29447;Review of Industrial Organization;journal;ISSN 0889938X, 0889938, 15737160;0.386;Q3;49;36;108;921;80;96;0.59;25.58;Netherlands;"Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2); Economics and Econometrics (Q3)"
310;3300147410;Journal of Asian Pacific Communication;journal;ISSN 15699838, 09576851;0.386;Q3;13;16;31;649;11;31;0.37;40.56;Netherlands;"Business, Management and Accounting (miscellaneous) (Q2); Communication (Q2); Geography, Planning and Development (Q2); Economics and Econometrics (Q3)"
311;20001;Economic Notes;journal;ISSN 03915026, 14680300;0.38;Q3;17;13;46;415;19;45;0.25;31.92;United Kingdom;Economics and Econometrics (Q3)
312;19700169607;Annals of Public and Cooperative Economics;journal;ISSN 13704788, 14678292;0.38;Q3;29;24;77;823;52;72;0.5;34.29;United Kingdom;"Sociology and Political Science (Q2); Economics and Econometrics (Q3)"
313;12975;Economic Systems;journal;ISSN 09393625;0.375;Q3;29;24;74;669;55;69;0.69;27.88;Netherlands;Economics and Econometrics (Q3)
314;12964;Review of Quantitative Finance and Accounting;journal;ISSN 0924865, 15737179;0.375;Q3;33;38;117;1381;67;117;0.47;36.34;United States;"Business, Management and Accounting (miscellaneous) (Q2); Accounting (Q3); Finance (Q3)"
315;5700167235;International Journal of Consumer Studies;journal;ISSN 14706423;0.372;Q3;50;82;167;3293;132;154;0.64;40.16;United Kingdom;"Marketing (Q2); Public Health, Environmental and Occupational Health (Q2); Applied Psychology (Q3); Economics and Econometrics (Q3)"
316;24378;Journal of Economics and Business;journal;ISSN 01486195, 00129933;0.368;Q3;43;33;89;968;46;86;0.38;29.33;Netherlands;"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q3)"
317;15089;Finance a Uver;journal;ISSN 00151920, 24647683;0.368;Q3;15;28;84;695;36;84;0.55;24.82;Czech Republic;"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)"
318;19400158573;Journal of Pension Economics and Finance;journal;ISSN 14747472;0.367;Q3;22;12;47;285;22;45;0.53;23.75;United Kingdom;"Organizational Behavior and Human Resource Management (Q2); Economics and Econometrics (Q3); Finance (Q3)"
319;22255;National Institute Economic Review;journal;ISSN 00279501, 17413036;0.365;Q2;27;72;135;767;84;132;0.58;10.65;United States;Economics, Econometrics and Finance (miscellaneous) (Q2)
320;17700155010;Australasian Marketing Journal;journal;ISSN 14413582;0.364;Q3;24;23;43;946;40;33;0.53;41.13;Australia;"Marketing (Q2); Economics and Econometrics (Q3)"
321;24884;Scottish Journal of Political Economy;journal;ISSN 00369292, 14679485;0.362;Q3;42;39;107;1089;73;105;0.51;27.92;United Kingdom;"Sociology and Political Science (Q2); Economics and Econometrics (Q3)"
