Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
59;28428;Journal of Geophysical Research;journal;01480227, 21562202;1.887;-;312;0;2024;0;8456;2015;3.96;0;United States;Northern America;Wiley-Blackwell;1956, 1959-2012, 2014-2017;"Aquatic Science (Q1); Atmospheric Science (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Earth-Surface Processes (Q1); Ecology (Q1); Forestry (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Oceanography (Q1); Paleontology (Q1); Soil Science (Q1); Space and Planetary Science (Q1); Water Science and Technology (Q1)"
60;21100229207;Journal of Materials Chemistry C;journal;20507534, 20507526;1.885;Q1;145;1428;4218;77706;27071;4207;6.64;54.42;United Kingdom;Western Europe;Royal Society of Chemistry;2013-2021;"Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1)"
61;23392;Chemistry - A European Journal;journal;15213765, 09476539;1.842;Q1;254;2441;6999;157627;34041;6811;4.91;64.57;Germany;Western Europe;Wiley-VCH Verlag;1995-2021;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Organic Chemistry (Q1)"
62;22669;Advanced Synthesis and Catalysis;journal;16154169, 16154150;1.817;Q1;160;588;1465;43090;7792;1447;5.39;73.28;Germany;Western Europe;Wiley-VCH Verlag;1996-2021;"Catalysis (Q1); Organic Chemistry (Q1)"
63;26533;Advances in Colloid and Interface Science;journal;00018686;1.787;Q1;194;86;376;11779;3139;367;8.42;136.97;Netherlands;Western Europe;Elsevier;1967-1972, 1974-2021;"Colloid and Surface Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Surfaces and Interfaces (Q1)"
64;21100778649;Proceedings - 2016 IEEE Symposium on Security and Privacy, SP 2016;conference and proceedings;-;1.777;-;33;0;58;0;867;55;14.95;0;United States;Northern America;;;Organic Chemistry
65;21100403813;Organic Chemistry Frontiers;journal;20524110, 20524129;1.774;Q1;64;493;820;31992;4075;815;4.94;64.89;United Kingdom;Western Europe;Royal Society of Chemistry;2014-2021;Organic Chemistry (Q1)
66;24039;Food Chemistry;journal;18737072, 03088146;1.768;Q1;281;1868;5252;68422;31930;5229;5.87;36.63;United Kingdom;Western Europe;Elsevier Ltd.;1976-2022;"Analytical Chemistry (Q1); Food Science (Q1); Medicine (miscellaneous) (Q1)"
67;26884;Current Opinion in Colloid and Interface Science;journal;13590294;1.755;Q1;153;79;206;6395;1280;188;5.95;80.95;United Kingdom;Western Europe;Elsevier BV;1996-2021;"Colloid and Surface Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
68;16313;Fuel;journal;00162361, 18737153;1.745;Q1;229;1666;3864;74595;22732;3836;5.74;44.77;Netherlands;Western Europe;Elsevier BV;1922, 1970-2022;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Organic Chemistry (Q1)"
69;27476;Critical Reviews in Solid State and Materials Sciences;journal;15476561, 10408436;1.73;Q1;64;16;48;3719;381;48;6.34;232.44;United Kingdom;Western Europe;Taylor and Francis Ltd.;1977-1984, 1986-2021;"Chemical Engineering (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1)"
70;17304;NMR in Biomedicine;journal;10991492, 09523480;1.708;Q1;119;144;536;6891;1846;528;3.34;47.85;United Kingdom;Western Europe;John Wiley and Sons Ltd;1988-2021;"Molecular Medicine (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Spectroscopy (Q1)"
71;16322;Desalination;journal;00119164;1.689;Q1;203;408;1127;21158;8546;1115;6.68;51.86;Netherlands;Western Europe;Elsevier;1966-2022;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Water Science and Technology (Q1)"
72;9500153997;Polymer Reviews;journal;15583724, 15583716;1.679;Q1;96;20;68;3042;533;68;6.77;152.1;United States;Northern America;Taylor and Francis Ltd.;2006-2021;"Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
73;21100248891;ACS Sustainable Chemistry and Engineering;journal;21680485;1.666;Q1;132;1859;2511;95552;18108;2486;7.07;51.4;United States;Northern America;American Chemical Society;2013-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
74;22806;Chemical Record;journal;15278999, 15280691;1.654;Q1;84;121;315;13506;1531;300;5.03;111.62;United States;Northern America;"John Wiley &amp; Sons Inc.";2001-2021;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1); Medicine (miscellaneous) (Q1)"
75;5200153123;Journal of Physical Chemistry C;journal;19327447, 19327455;1.652;Q1;306;3203;9639;170454;43934;9594;4.33;53.22;United States;Northern America;American Chemical Society;2007-2021;"Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physical and Theoretical Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
76;25781;Aldrichimica Acta;journal;00025100;1.637;Q1;61;5;41;445;70;14;2.15;89;United States;Northern America;Aldrich;1990-2020;Organic Chemistry (Q1)
77;19700182678;Polymer Chemistry;journal;17599954, 17599962;1.618;Q1;127;556;2388;31693;11580;2381;4.87;57;United Kingdom;Western Europe;Royal Society of Chemistry;2010-2021;"Biochemistry (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
78;26556;Catalysis Reviews - Science and Engineering;journal;15205703, 01614940;1.609;Q1;105;10;28;2036;236;28;7.83;203.6;United States;Northern America;Taylor and Francis Ltd.;1968-1972, 1974-2021;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
79;25896;Journal of Organic Chemistry;journal;15206904, 00223263;1.607;Q1;234;1566;4224;83252;19725;4218;4.82;53.16;United States;Northern America;American Chemical Society;1936-2021;Organic Chemistry (Q1)
80;21100403917;Inorganic Chemistry Frontiers;journal;20521545, 20521553;1.571;Q1;67;352;523;19417;2913;520;5.94;55.16;United Kingdom;Western Europe;Royal Society of Chemistry;2014-2021;Inorganic Chemistry (Q1)
81;25242;Comments on Inorganic Chemistry;journal;02603594, 15489574;1.561;Q1;43;9;43;998;137;25;2.66;110.89;United Kingdom;Western Europe;Taylor and Francis Ltd.;1981-2021;Inorganic Chemistry (Q1)
82;13517;Ultrasonics Sonochemistry;journal;13504177, 18732828;1.556;-;140;535;1121;25369;7808;1109;7.54;47.42;Netherlands;Western Europe;Elsevier;1994-2021;"Acoustics and Ultrasonics (Q1); Chemical Engineering (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
83;16876;Bioconjugate Chemistry;journal;15204812, 10431802;1.551;Q1;177;437;932;22455;4370;920;4.43;51.38;United States;Northern America;American Chemical Society;1990-2021;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Organic Chemistry (Q1); Pharmaceutical Science (Q1); Pharmacology (Q1)"
84;17594;Journal of Biomolecular NMR;journal;15735001, 09252738;1.54;Q1;108;65;267;3087;765;265;2.48;47.49;Netherlands;Western Europe;Springer Netherlands;1991-2021;"Biochemistry (Q1); Spectroscopy (Q1)"
85;23255;Marine Chemistry;journal;03044203;1.522;Q1;137;106;340;7385;1192;326;2.56;69.67;Netherlands;Western Europe;Elsevier;1972-2021;"Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Oceanography (Q1); Water Science and Technology (Q1)"
86;24644;Journal of Physical and Chemical Reference Data;journal;15297845, 00472689;1.521;Q1;94;20;69;1523;303;65;4.69;76.15;United States;Northern America;American Institute of Physics;1972-2021;"Chemistry (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)"
87;17625;Journal of Proteome Research;journal;15353893, 15353907;1.518;Q1;168;396;1294;20396;5131;1286;3.84;51.51;United States;Northern America;American Chemical Society;2002-2021;"Biochemistry (Q1); Chemistry (miscellaneous) (Q1)"
88;25264;Inorganic Chemistry;journal;00201669, 1520510X;1.501;Q1;241;1698;4519;97042;21660;4507;4.84;57.15;United States;Northern America;American Chemical Society;1962-2021;"Chemistry (miscellaneous) (Q1); Inorganic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
89;19600157322;Journal of Cheminformatics;journal;17582946;1.499;Q1;61;66;216;3269;1003;215;4.21;49.53;United Kingdom;Western Europe;Chemistry Central;2009-2021;"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q1)"
90;26423;Organometallics;journal;15206041, 02767333;1.473;Q1;176;547;1749;34119;6770;1730;4;62.37;United States;Northern America;American Chemical Society;1982-2021;"Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
91;19900191733;ChemCatChem;journal;18673880, 18673899;1.472;Q1;114;684;1646;41904;7614;1580;4.24;61.26;Germany;Western Europe;"Wiley - VCH Verlag GmbH &amp; CO. KGaA";2009-2021;"Catalysis (Q1); Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
92;23911;Analytica Chimica Acta;journal;00032670, 18734324;1.467;Q1;213;771;1981;37937;11474;1979;5.43;49.2;Netherlands;Western Europe;Elsevier;1947-2021;"Analytical Chemistry (Q1); Biochemistry (Q1); Environmental Chemistry (Q1); Spectroscopy (Q1)"
