Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
63;16398;Chemical Engineering Journal;journal;13858947;2,066;Q1;172;2281;5012;118609;42295;4986;8,69;52,00;Netherlands;Elsevier BV;1971, 1973-1989, 1992-ongoing;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Industrial and Manufacturing Engineering (Q1)"
64;29348;Energy;journal;03605442;2,048;Q1;158;2205;4958;98959;30497;4895;6,15;44,88;United Kingdom;Elsevier Ltd.;1976-ongoing;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Pollution (Q1)"
65;20343;Ecosystems;journal;14329840, 14350629;2,040;Q1;131;155;306;10515;1386;304;4,31;67,84;Germany;Springer Verlag;1998-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Environmental Chemistry (Q1)"
66;4900152303;Global Environmental Politics;journal;15263800;2,023;Q1;47;31;87;1638;320;85;3,57;52,84;United States;MIT Press;2006-ongoing;"Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
67;22524;Climate Policy;journal;14693062;2,012;Q1;56;126;203;6545;833;181;4,81;51,94;United Kingdom;Taylor & Francis;2001-ongoing;"Atmospheric Science (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)"
68;29269;Journal of Biogeography;journal;13652699, 03050270;2,009;Q1;141;235;690;15744;2756;644;4,00;67,00;United Kingdom;Blackwell Publishing Inc.;1974, 1979-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
69;13274;Environment and Planning D: Society and Space;journal;02637758;1,994;Q1;93;86;203;4788;667;193;3,42;55,67;United Kingdom;SAGE Publications Inc.;1983-ongoing;"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
70;29403;Energy Policy;journal;03014215;1,988;Q1;178;713;1692;38696;9199;1636;5,37;54,27;United Kingdom;Elsevier Ltd.;1973-ongoing;"Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1)"
71;19400158343;Current Opinion in Environmental Sustainability;journal;18773435;1,980;Q1;69;108;294;7015;1659;278;4,58;64,95;Netherlands;Elsevier BV;2009-ongoing;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
72;25858;Journal of Hazardous Materials;journal;03043894;1,958;Q1;235;914;2498;45652;19705;2460;8,00;49,95;Netherlands;Elsevier BV;1975-ongoing;"Environmental Chemistry (Q1); Environmental Engineering (Q1); Health, Toxicology and Mutagenesis (Q1); Pollution (Q1); Waste Management and Disposal (Q1)"
73;23895;Critical Reviews in Environmental Science and Technology;journal;10643389;1,955;Q1;88;34;173;5255;1287;164;6,39;154,56;United Kingdom;Taylor & Francis;1993-ongoing;"Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
74;21100820782;Remote Sensing in Ecology and Conservation;journal;20563485;1,943;Q1;11;34;47;1947;244;43;5,32;57,26;United Kingdom;Wiley-Blackwell;2015-ongoing;"Computers in Earth Sciences (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
75;21100371216;Environmental Science: Nano;journal;20518161, 20518153;1,936;Q1;37;241;404;16200;2995;393;7,59;67,22;United Kingdom;Royal Society of Chemistry;2014-ongoing;"Environmental Science (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
76;4400151418;Climate of the Past;journal;18149332, 18149324;1,929;Q1;64;116;347;10406;1197;346;3,55;89,71;Germany;Copernicus GmbH;2005-ongoing;"Global and Planetary Change (Q1); Paleontology (Q1); Stratigraphy (Q1)"
77;21100218328;Global Food Security;journal;22119124;1,927;Q1;31;65;108;4238;636;107;5,56;65,20;United States;Elsevier;2012-ongoing;"Ecology (Q1); Food Science (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1)"
78;21536;Environmental Science and Policy;journal;14629011;1,919;Q1;95;229;650;14530;3601;633;5,16;63,45;Netherlands;Elsevier BV;1998-ongoing;"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
79;21100216308;GCB Bioenergy;journal;17571693, 17571707;1,900;Q1;50;66;328;4448;1675;320;5,06;67,39;Germany;Wiley-VCH Verlag;2009-ongoing;"Agronomy and Crop Science (Q1); Forestry (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)"
80;4000148310;Geobiology;journal;14724677, 14724669;1,900;Q1;59;45;131;3838;526;130;4,16;85,29;United Kingdom;Blackwell Publishing Inc.;2005-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Environmental Science (miscellaneous) (Q1)"
81;19700182347;Issues in Ecology;book series;10928987;1,894;Q1;6;0;2;0;18;2;12,00;0,00;United States;Ecological Society of America;2010-ongoing;"Ecology (Q1); Global and Planetary Change (Q1); Pollution (Q1)"
82;16281;Journal of Geotechnical and Geoenvironmental Engineering - ASCE;journal;10900241;1,893;Q1;129;187;619;6475;1661;496;3,07;34,63;United States;American Society of Civil Engineers;1996-ongoing;"Environmental Science (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1)"
83;28428;Journal of Geophysical Research;journal;01480227;1,887;Q1;295;2605;7736;158579;26902;7621;3,36;60,87;United States;Wiley-Blackwell;1968-1971, 1973-ongoing;"Aquatic Science (Q1); Atmospheric Science (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Earth-Surface Processes (Q1); Ecology (Q1); Forestry (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Oceanography (Q1); Paleontology (Q1); Soil Science (Q1); Space and Planetary Science (Q1); Water Science and Technology (Q1)"
