Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
442;21100216307;Eau, l'INDUSTRIE, les Nuisances;journal;07555016;0.109;Q3;6;94;164;246;3;164;0;2.62;France;Western Europe;Editions Johanet;1985-1991, 1996-2004, 2006-2021;"Fluid Flow and Transfer Processes (Q3); Ocean Engineering (Q3); Water Science and Technology (Q3); Control and Systems Engineering (Q4)"
443;32541;Manuals and Reports on Engineering Practice, American Society of Civil Engineers;book series;07347685;0.109;Q3;10;0;10;0;3;9;0.38;0;United States;Northern America;American Society of Civil Engineers (ASCE);1969-1970, 1972, 1975-1976, 1980, 1983-1987, 1990-2001, 2003-2006, 2009-2018;"Chemical Engineering (miscellaneous) (Q3); Water Science and Technology (Q3); Strategy and Management (Q4)"
444;20119;Oilfield Chemistry;journal;10004092;0.109;Q3;12;96;439;467;6;439;0.02;4.86;China;Asiatic Region;China International Book Trading Corp. (Guoji Shudian);1996-2021;"Chemical Engineering (miscellaneous) (Q3); Energy Engineering and Power Technology (Q3); Chemistry (miscellaneous) (Q4)"
445;19453;Shiyou Huagong/Petrochemical Technology;journal;10008144;0.109;Q3;14;184;514;1332;22;514;0.04;7.24;China;Asiatic Region;Beijing Research Institute of Chemical Industry;1994-2017;"Chemical Engineering (miscellaneous) (Q3); Fuel Technology (Q3)"
446;14457;International Journal of the Society of Materials Engineering for Resources;journal;18846629, 13479725;0.108;Q3;11;18;55;312;7;55;0.04;17.33;Japan;Asiatic Region;Society of Materials Engineering for Resources of Japan;1993-2007, 2009-2014, 2016-2018, 2020;"Chemical Engineering (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3); Mechanical Engineering (Q3)"
447;21987;Ukrainskij Khimicheskij Zhurnal;journal;00416045;0.108;Q3;8;176;403;1525;18;403;0.05;8.66;Ukraine;Eastern Europe;Natsional'na Akademiya Nauk Ukrainy;1992-2005;Chemical Engineering (miscellaneous) (Q3)
448;22801;Chemical Journal on Internet;journal;15231623;0.107;Q3;6;60;121;732;11;121;0.1;12.2;Switzerland;Western Europe;Multidisciplinary Digital Publishing Institute (MDPI);1999-2010;"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4)"
449;79502;Petrotech;journal;03862763;0.107;Q3;4;53;240;478;10;240;0.05;9.02;Japan;Asiatic Region;Sekiyu Gakkai;1970, 1978-1979, 1988, 1996, 1999-2005;Process Chemistry and Technology (Q3)
450;14326;Plastics, Additives and Compounding;journal;1464391X;0.107;Q3;21;56;13;34;1;9;0;0.61;Netherlands;Western Europe;Elsevier BV;1999-2009;"Chemical Engineering (miscellaneous) (Q3); Polymers and Plastics (Q3); Materials Chemistry (Q4)"
451;28923;Production Journal;trade journal;00329878;0.107;Q3;1;109;3;0;0;3;0;0;United Kingdom;Western Europe;Cullum Publishing;1999-2000, 2002, 2005-2007;"Chemical Engineering (miscellaneous) (Q3); Electronic, Optical and Magnetic Materials (Q4)"
452;13282;Sealing Technology;trade journal;13504789;0.107;Q3;15;15;51;33;2;51;0.07;2.2;United Kingdom;Western Europe;Elsevier BV;1994-2021;"Chemical Engineering (miscellaneous) (Q3); Mechanical Engineering (Q3)"
453;19460;Shi You Lian Zhi Yu Hua Gong/Petroleum Processing and Petrochemicals;journal;10052399;0.107;Q3;14;206;661;893;21;661;0.04;4.33;China;Asiatic Region;Research Institute of Petroleum Processing, SINOPEC;1996-2021;"Energy Engineering and Power Technology (Q3); Fuel Technology (Q3); Process Chemistry and Technology (Q3)"
454;28965;Southern Graphics;journal;0274774X;0.107;Q3;0;115;3;0;0;3;0;0;United States;Northern America;Cygnus Business Media Inc;1999-2000, 2002;"Chemical Engineering (miscellaneous) (Q3); Management of Technology and Innovation (Q3)"
455;13300;Surface Coatings International Part A: Coatings Journal;journal;14764857;0.107;Q3;5;27;3;126;0;3;0;4.67;United Kingdom;Western Europe;"Oil &amp; Colour Chemists' Association";1973-1977, 1979-1980, 1982, 1985, 1987, 1989, 1996-2000, 2002-2006;"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4); Surfaces and Interfaces (Q4); Surfaces, Coatings and Films (Q4)"
456;21100450045;2001 International Microprocesses and Nanotechnology Conference, MNC 2001;conference and proceedings;-;0.106;-;5;0;152;0;9;151;0.06;0;United States;Northern America;;;Software
457;12724;Industrial Laboratory (USSR) (English translation of Zavodskaya Laboratoriya);journal;00198447;0.106;Q3;5;0;306;0;6;306;0.03;0;United Kingdom;Western Europe;Cambridge International Science Publishing;1972-1989, 1996-2000;"Chemical Engineering (miscellaneous) (Q3); Multidisciplinary (Q4)"
458;70396;Tree Planters' Notes;journal;00968714;0.106;Q3;8;0;7;0;2;7;0.29;0;United States;Northern America;The Tree Planters' Service;1996-1997, 1999-2000;"Chemical Engineering (miscellaneous) (Q3); Food Science (Q4)"
459;28595;Cleanroom Technology;trade journal;13655531;0.105;Q3;4;37;4;64;0;4;0;1.73;United Kingdom;Western Europe;Polygon Media Ltd.;1995, 1997, 2001-2021;"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4); Health, Toxicology and Mutagenesis (Q4); Safety, Risk, Reliability and Quality (Q4)"
460;68307;NPRA International Petrochemical Conference Papers;conference and proceedings;-;0.105;-;1;3;4;0;0;4;0;0;United States;Northern America;;1999-2000, 2002-2003, 2008, 2010;"Chemical Engineering (miscellaneous); Energy Engineering and Power Technology; Fuel Technology"
461;15204;Paper Age;trade journal;00311081;0.105;Q3;6;74;4;18;0;4;0;0.24;United States;Northern America;Global Publications;1998-1999, 2002-2007;Chemical Engineering (miscellaneous) (Q3)
462;14266;Russian Journal of Applied Chemistry;journal;10704272, 16083296;0.105;Q3;30;452;1276;5624;28;1276;0.02;12.44;United States;Northern America;Pleiades Publishing;1995-2021;"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4)"
463;16414;Chemical Engineering World;trade journal;00092517;0.104;Q3;9;105;266;245;3;266;0.01;2.33;India;Asiatic Region;;1974, 1976, 1979-2012, 2014-2018;"Chemical Engineering (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Chemistry (miscellaneous) (Q4)"
464;24128;Iranian Journal of Chemistry and Chemical Engineering;journal;10219986;0.104;Q3;27;21;58;445;8;58;0.03;21.19;Iran;Middle East;Iranian Journal of Chemistry and Chemical Engineering;1996-2021;"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4)"
465;15250;Print and Paper Europe;trade journal;14713063;0.104;Q3;1;188;296;0;1;201;0;0;United Kingdom;Western Europe;Whitmar Publications Ltd.;2000-2005;Chemical Engineering (miscellaneous) (Q3)
466;21100791224;STFi Kontakt;trade journal;03470504;0.104;Q3;0;16;5;0;0;5;0;0;Sweden;Western Europe;Swedish Pulp and Paper Research Institute;2001-2003;Chemical Engineering (miscellaneous) (Q3)
467;26901;Acta Polymerica Sinica;journal;10003304;0.103;Q3;26;171;495;2077;37;495;0.06;12.15;China;Asiatic Region;Science Press;1996-2021;"Chemical Engineering (miscellaneous) (Q3); Polymers and Plastics (Q3); Chemistry (miscellaneous) (Q4)"
