Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2005);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
17;13883;Caribbean Journal of Science;journal;00086452;0.265;Q1;31;75;107;2660;69;107;0.57;35.47;Puerto Rico;Latin America;University of Puerto Rico Medical Sciences Campus;1980, 1982-2010, 2016, 2019;Multidisciplinary (Q1)
18;28036;Indian Journal of Pure and Applied Physics;journal;09751041, 00195596;0.261;-;38;152;443;3065;210;438;0.48;20.16;India;Asiatic Region;National Institute of Science Communication and Information Resources (NISCAIR);1969, 1971, 1974-1990, 1993-2019;Physics and Astronomy (miscellaneous) (Q3)
19;23516;Journal of the Royal Society of Western Australia;journal;0035922X;0.252;Q1;26;25;65;773;21;65;0.15;30.92;Australia;Pacific Region;Royal Society of Western Australia Inc.;1981, 1983-2019;Multidisciplinary (Q1)
20;23531;Sadhana - Academy Proceedings in Engineering Sciences;journal;09737677, 02562499;0.216;Q1;46;45;160;1292;84;155;0.57;28.71;India;Asiatic Region;Springer India;1984-2020;Multidisciplinary (Q1)
21;23649;Journal of Scientific and Industrial Research;journal;00224456;0.212;Q2;49;132;315;2783;108;315;0.28;21.08;India;Asiatic Region;National Institute of Science Communication and Information Resources (NISCAIR);1969-1970, 1972-1978, 1980, 1982-1991, 1994-2020;Multidisciplinary (Q2)
22;25490;Tongji Daxue Xuebao/Journal of Tongji University;journal;0253374X;0.206;Q2;30;306;480;2568;43;480;0.08;8.39;China;Asiatic Region;Science Press;1999-2020;Multidisciplinary (Q2)
23;22962;Interciencia;journal;03781844;0.204;Q2;34;117;301;3530;109;282;0.31;30.17;Venezuela;Latin America;Interciencia Association;1979, 1981-1982, 1986, 1990, 1993, 1996-2020;Multidisciplinary (Q2)
24;22276;Pakistan Journal of Scientific and Industrial Research;journal;00309885;0.198;Q2;12;89;301;1636;32;297;0.08;18.38;Pakistan;Asiatic Region;PCSIR-Scientific Information Centre;1971-1973, 1975, 1977, 1983-1985, 1987-2012;Multidisciplinary (Q2)
25;14038;Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University;journal;10062467;0.196;Q2;22;499;1229;3986;143;1229;0.12;7.99;China;Asiatic Region;Shanghai Jiao Tong University;1988, 1998-2019;Multidisciplinary (Q2)
26;23650;Journal of Scientific Exploration (discontinued);journal;08923310;0.192;Q2;17;34;176;540;29;115;0.46;15.88;United States;Northern America;Society of Scientific Exploration;1997-1998, 2000-2018;Multidisciplinary (Q2)
27;23285;Natures Sciences Societes;journal;12401307, 17652979;0.188;Q2;16;66;113;877;11;98;0.09;13.29;France;Western Europe;EDP Sciences;1995-2019;"Multidisciplinary (Q2); Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)"
28;5600155094;Perspectives on Science;journal;10636145, 15309274;0.186;Q2;22;21;52;765;21;52;0.38;36.43;United States;Northern America;MIT Press Journals;1999-2020;"History and Philosophy of Science (Q2); Multidisciplinary (Q2)"
29;24221;Scientist (discontinued);journal;08903670;0.183;Q2;18;454;1466;1203;235;1072;0.24;2.65;United States;Northern America;Scientist Inc.;1986-2018;Multidisciplinary (Q2)
